,suburb,rooms,type,price,bathroom,car,month,year,total_2020_incidents
58,Abbotsford,1,u,415000.0,1.0,1.0,09,2017,1286
59,Abbotsford,2,u,683000.0,2.0,1.0,09,2017,1286
60,Abbotsford,3,h,1255000.0,2.0,1.0,09,2017,1286
61,Abbotsford,3,h,1240000.0,1.0,1.0,10,2017,1286
62,Abbotsford,2,h,1075000.0,1.0,0.0,10,2017,1286
63,Abbotsford,2,h,1200000.0,1.0,0.0,10,2017,1286
64,Abbotsford,2,h,1300000.0,1.0,1.0,11,2017,1286
65,Abbotsford,3,h,955000.0,2.0,2.0,02,2018,1286
66,Abbotsford,3,h,1200000.0,1.0,1.0,02,2018,1286
67,Abbotsford,3,h,1366000.0,1.0,2.0,03,2018,1286
68,Airport West,3,t,840000.0,2.0,1.0,09,2016,694
69,Airport West,3,h,730000.0,2.0,1.0,12,2016,694
70,Airport West,3,h,770000.0,2.0,1.0,03,2017,694
71,Airport West,2,h,603000.0,1.0,1.0,03,2017,694
72,Airport West,3,t,700000.0,2.0,2.0,03,2017,694
73,Airport West,3,h,600000.0,1.0,1.0,03,2017,694
74,Airport West,2,u,500000.0,1.0,1.0,03,2017,694
75,Airport West,3,h,720000.0,1.0,1.0,08,2016,694
76,Airport West,4,h,785000.0,1.0,2.0,08,2016,694
77,Airport West,6,h,725000.0,3.0,2.0,05,2016,694
78,Airport West,2,t,450000.0,1.0,1.0,05,2016,694
79,Airport West,2,u,515000.0,1.0,1.0,11,2016,694
80,Airport West,2,u,530000.0,1.0,1.0,09,2016,694
81,Airport West,3,h,895000.0,1.0,6.0,09,2016,694
82,Airport West,3,h,805000.0,1.0,1.0,12,2016,694
83,Airport West,3,u,752000.0,1.0,1.0,02,2017,694
84,Airport West,2,u,440000.0,1.0,1.0,08,2016,694
85,Airport West,5,h,755000.0,2.0,2.0,05,2016,694
86,Airport West,3,t,700000.0,2.0,2.0,10,2016,694
87,Airport West,3,h,830000.0,1.0,2.0,04,2016,694
88,Airport West,2,u,462500.0,1.0,1.0,07,2016,694
89,Airport West,3,h,670000.0,2.0,2.0,07,2016,694
90,Airport West,2,h,675000.0,1.0,1.0,07,2016,694
91,Airport West,3,h,1042000.0,2.0,5.0,07,2016,694
92,Airport West,3,h,910000.0,1.0,1.0,09,2016,694
93,Airport West,4,h,773000.0,3.0,4.0,09,2016,694
94,Airport West,3,h,810000.0,3.0,2.0,03,2017,694
95,Airport West,3,h,715000.0,2.0,2.0,03,2017,694
96,Airport West,3,h,790000.0,1.0,3.0,03,2017,694
97,Airport West,3,t,540000.0,2.0,1.0,06,2016,694
98,Airport West,3,t,825000.0,2.0,1.0,11,2016,694
99,Airport West,3,h,685000.0,1.0,1.0,05,2016,694
100,Airport West,3,h,805000.0,1.0,1.0,08,2016,694
101,Airport West,2,u,510000.0,1.0,1.0,08,2016,694
102,Airport West,3,h,612000.0,2.0,1.0,08,2016,694
103,Airport West,3,h,662000.0,1.0,2.0,04,2016,694
104,Airport West,4,h,978000.0,3.0,2.0,09,2016,694
105,Airport West,3,h,720000.0,1.0,1.0,02,2017,694
106,Airport West,4,h,765000.0,1.0,2.0,11,2016,694
107,Airport West,4,h,900000.0,2.0,3.0,11,2016,694
108,Airport West,3,h,872500.0,1.0,1.0,04,2017,694
109,Airport West,3,h,720000.0,2.0,2.0,04,2017,694
110,Airport West,3,h,985000.0,1.0,1.0,04,2017,694
111,Airport West,3,h,510000.0,1.0,1.0,04,2017,694
112,Airport West,2,u,480000.0,1.0,1.0,04,2017,694
113,Airport West,3,h,640000.0,1.0,2.0,07,2017,694
114,Airport West,3,h,961000.0,1.0,2.0,07,2017,694
115,Airport West,3,h,845000.0,1.0,2.0,06,2017,694
116,Airport West,3,h,1250000.0,1.0,1.0,06,2017,694
117,Airport West,4,h,1026000.0,3.0,2.0,06,2017,694
118,Airport West,3,u,850000.0,2.0,1.0,06,2017,694
119,Airport West,3,t,730000.0,1.0,2.0,06,2017,694
120,Airport West,3,u,737500.0,2.0,2.0,06,2017,694
121,Airport West,3,h,905000.0,1.0,2.0,06,2017,694
122,Airport West,2,h,650000.0,1.0,3.0,05,2017,694
123,Airport West,3,t,856000.0,2.0,1.0,05,2017,694
124,Airport West,3,u,670000.0,1.0,2.0,07,2017,694
125,Airport West,3,u,700000.0,2.0,1.0,08,2017,694
126,Airport West,4,t,950000.0,2.0,1.0,08,2017,694
127,Airport West,2,u,454000.0,1.0,1.0,07,2017,694
128,Airport West,3,t,780000.0,2.0,1.0,07,2017,694
129,Airport West,2,u,421000.0,1.0,1.0,09,2017,694
130,Airport West,3,h,1000001.0,2.0,1.0,09,2017,694
131,Airport West,3,h,1064000.0,1.0,1.0,09,2017,694
132,Airport West,3,t,730000.0,2.0,2.0,08,2017,694
133,Airport West,2,u,590000.0,1.0,1.0,08,2017,694
134,Airport West,3,h,860000.0,2.0,2.0,09,2017,694
135,Airport West,3,h,850000.0,1.0,2.0,09,2017,694
136,Airport West,3,h,796000.0,1.0,1.0,09,2017,694
137,Airport West,3,h,975500.0,1.0,1.0,08,2017,694
138,Airport West,3,h,880000.0,1.0,3.0,08,2017,694
139,Airport West,3,h,790000.0,1.0,5.0,10,2017,694
140,Airport West,3,h,576000.0,1.0,1.0,10,2017,694
141,Airport West,3,h,730000.0,2.0,1.0,10,2017,694
142,Airport West,3,h,770000.0,2.0,2.0,10,2017,694
143,Airport West,3,h,805000.0,1.0,2.0,10,2017,694
144,Airport West,3,h,730000.0,1.0,1.0,10,2017,694
145,Airport West,3,h,880000.0,1.0,1.0,10,2017,694
146,Airport West,3,h,886000.0,2.0,1.0,10,2017,694
147,Airport West,3,h,926000.0,1.0,2.0,10,2017,694
148,Airport West,4,h,965000.0,2.0,1.0,10,2017,694
149,Airport West,6,h,870000.0,3.0,2.0,10,2017,694
150,Airport West,3,h,845000.0,3.0,3.0,10,2017,694
151,Airport West,4,h,931000.0,2.0,1.0,10,2017,694
152,Airport West,3,h,912000.0,1.0,3.0,10,2017,694
153,Airport West,3,h,860000.0,1.0,1.0,11,2017,694
154,Airport West,3,h,807000.0,1.0,2.0,11,2017,694
155,Airport West,3,h,970000.0,1.0,2.0,01,2018,694
156,Airport West,4,h,790000.0,2.0,1.0,01,2018,694
157,Airport West,3,h,1025000.0,1.0,1.0,01,2018,694
158,Airport West,3,h,776000.0,2.0,2.0,12,2017,694
159,Airport West,4,h,1220000.0,2.0,5.0,12,2017,694
160,Airport West,3,h,943000.0,1.0,2.0,12,2017,694
161,Airport West,3,h,693000.0,1.0,1.0,02,2018,694
162,Airport West,5,h,1025000.0,2.0,3.0,01,2018,694
163,Airport West,3,h,890000.0,2.0,1.0,03,2018,694
164,Airport West,3,h,975000.0,2.0,1.0,03,2018,694
165,Airport West,3,t,891000.0,2.0,2.0,03,2018,694
166,Airport West,4,t,910000.0,3.0,2.0,02,2018,694
167,Airport West,4,h,820000.0,1.0,1.0,03,2018,694
168,Airport West,2,u,530000.0,1.0,1.0,03,2018,694
169,Airport West,3,h,640000.0,2.0,1.0,02,2018,694
170,Albert Park,2,h,1275000.0,1.0,0.0,09,2016,530
171,Albert Park,2,h,1455000.0,1.0,0.0,09,2016,530
172,Albert Park,3,h,2850000.0,2.0,0.0,03,2017,530
173,Albert Park,3,h,1850000.0,2.0,0.0,03,2017,530
174,Albert Park,2,h,1436000.0,1.0,0.0,03,2017,530
175,Albert Park,2,h,1110000.0,1.0,0.0,08,2016,530
176,Albert Park,2,h,1550000.0,1.0,1.0,05,2016,530
177,Albert Park,4,h,2300000.0,2.0,1.0,05,2016,530
178,Albert Park,3,t,1550000.0,2.0,2.0,11,2016,530
179,Albert Park,3,h,1800000.0,2.0,1.0,11,2016,530
180,Albert Park,2,h,2120000.0,1.0,1.0,09,2016,530
181,Albert Park,3,h,1800000.0,1.0,1.0,09,2016,530
182,Albert Park,3,h,1800000.0,2.0,1.0,09,2016,530
183,Albert Park,2,h,1810000.0,1.0,0.0,12,2016,530
184,Albert Park,3,h,2615000.0,2.0,1.0,12,2016,530
185,Albert Park,5,h,2100000.0,2.0,1.0,12,2016,530
186,Albert Park,3,h,1300000.0,1.0,0.0,12,2016,530
187,Albert Park,3,h,1370000.0,2.0,2.0,06,2016,530
188,Albert Park,2,h,1000000.0,1.0,0.0,11,2016,530
189,Albert Park,3,h,2575000.0,2.0,1.0,10,2016,530
190,Albert Park,2,h,1322500.0,1.0,0.0,10,2016,530
191,Albert Park,2,h,1562500.0,1.0,0.0,10,2016,530
192,Albert Park,3,h,2000000.0,2.0,1.0,04,2016,530
193,Albert Park,3,h,1900000.0,1.0,0.0,03,2017,530
194,Albert Park,3,h,3010000.0,2.0,0.0,03,2017,530
195,Albert Park,4,h,2800000.0,3.0,1.0,06,2016,530
196,Albert Park,2,u,647000.0,1.0,1.0,05,2016,530
197,Albert Park,3,h,2100000.0,1.0,1.0,04,2016,530
198,Albert Park,3,h,2000000.0,1.0,1.0,09,2016,530
199,Albert Park,1,u,442500.0,1.0,0.0,02,2017,530
200,Albert Park,4,h,4735000.0,2.0,1.0,02,2017,530
201,Albert Park,2,h,1340000.0,1.0,0.0,02,2017,530
202,Albert Park,3,h,1801000.0,1.0,1.0,02,2017,530
203,Albert Park,3,h,1532000.0,3.0,1.0,07,2016,530
204,Albert Park,3,h,3755000.0,2.0,2.0,07,2016,530
205,Albert Park,4,h,2140000.0,2.0,1.0,06,2016,530
206,Albert Park,2,h,1750000.0,1.0,1.0,11,2016,530
207,Albert Park,2,h,980000.0,1.0,0.0,05,2016,530
208,Albert Park,3,h,2030000.0,2.0,0.0,08,2016,530
209,Albert Park,3,h,1740000.0,2.0,2.0,08,2016,530
210,Albert Park,3,h,2800000.0,3.0,1.0,07,2016,530
211,Albert Park,1,h,985000.0,1.0,0.0,07,2016,530
212,Albert Park,3,h,1700000.0,1.0,1.0,05,2017,530
213,Albert Park,1,u,1100000.0,1.0,1.0,04,2017,530
214,Albert Park,3,h,2155000.0,2.0,0.0,04,2017,530
215,Albert Park,3,h,2115000.0,2.0,0.0,04,2017,530
216,Albert Park,2,h,2810000.0,1.0,1.0,04,2017,530
217,Albert Park,2,h,2130000.0,1.0,1.0,05,2017,530
218,Albert Park,4,h,2950000.0,1.0,0.0,05,2017,530
219,Albert Park,3,h,2150000.0,1.0,1.0,05,2017,530
220,Albert Park,3,h,2035000.0,1.0,1.0,04,2017,530
221,Albert Park,2,t,1500000.0,1.0,1.0,04,2017,530
222,Albert Park,2,h,1190000.0,1.0,0.0,04,2017,530
223,Albert Park,2,h,1535000.0,1.0,0.0,07,2017,530
224,Albert Park,2,h,2905000.0,1.0,1.0,06,2017,530
225,Albert Park,2,h,1380000.0,1.0,1.0,06,2017,530
226,Albert Park,3,h,2500000.0,2.0,1.0,06,2017,530
227,Albert Park,3,h,2120000.0,1.0,2.0,06,2017,530
228,Albert Park,2,h,2015000.0,1.0,2.0,06,2017,530
229,Albert Park,2,u,685000.0,1.0,0.0,06,2017,530
230,Albert Park,3,h,1800000.0,1.0,1.0,06,2017,530
231,Albert Park,3,h,1505000.0,1.0,1.0,05,2017,530
232,Albert Park,3,h,1900000.0,1.0,1.0,05,2017,530
233,Albert Park,4,h,3560000.0,1.0,1.0,07,2017,530
234,Albert Park,2,h,1910000.0,1.0,1.0,09,2017,530
235,Albert Park,4,h,2720000.0,3.0,2.0,09,2017,530
236,Albert Park,2,t,1440000.0,1.0,1.0,09,2017,530
237,Albert Park,3,h,2340000.0,2.0,1.0,08,2017,530
238,Albert Park,3,h,2225000.0,1.0,1.0,08,2017,530
239,Albert Park,2,h,1330000.0,1.0,0.0,10,2017,530
240,Albert Park,4,h,3600000.0,3.0,1.0,10,2017,530
241,Albert Park,4,h,4110000.0,2.0,1.0,10,2017,530
242,Albert Park,3,h,2720000.0,1.0,1.0,10,2017,530
243,Albert Park,6,h,3000000.0,3.0,2.0,11,2017,530
244,Albert Park,3,h,1650000.0,2.0,0.0,03,2018,530
245,Albert Park,2,t,1422000.0,2.0,1.0,03,2018,530
246,Alphington,4,h,2000000.0,2.0,4.0,09,2016,218
247,Alphington,3,h,1110000.0,2.0,2.0,09,2016,218
248,Alphington,3,h,1492000.0,2.0,2.0,03,2017,218
249,Alphington,4,h,1717500.0,2.0,1.0,10,2016,218
250,Alphington,5,h,2840000.0,4.0,4.0,06,2016,218
251,Alphington,2,u,525500.0,1.0,1.0,11,2016,218
252,Alphington,2,t,805000.0,2.0,3.0,11,2016,218
253,Alphington,2,u,465000.0,1.0,1.0,11,2016,218
254,Alphington,3,h,2000000.0,3.0,2.0,10,2016,218
255,Alphington,3,h,1540000.0,1.0,2.0,04,2016,218
256,Alphington,2,u,820000.0,1.0,1.0,03,2017,218
257,Alphington,4,h,1830000.0,2.0,2.0,11,2016,218
258,Alphington,4,h,2100000.0,2.0,2.0,11,2016,218
259,Alphington,3,h,865000.0,1.0,1.0,05,2016,218
260,Alphington,2,u,390000.0,1.0,1.0,05,2016,218
261,Alphington,2,t,650000.0,1.0,0.0,09,2016,218
262,Alphington,2,u,512000.0,1.0,1.0,02,2017,218
263,Alphington,3,h,1165000.0,1.0,2.0,06,2016,218
264,Alphington,4,h,1900000.0,2.0,2.0,11,2016,218
265,Alphington,3,h,1485000.0,0.0,0.0,08,2016,218
266,Alphington,4,h,1950000.0,2.0,3.0,07,2016,218
267,Alphington,1,u,320000.0,1.0,1.0,05,2017,218
268,Alphington,3,t,1285000.0,2.0,2.0,05,2017,218
269,Alphington,4,h,1975000.0,2.0,2.0,05,2017,218
270,Alphington,1,u,316000.0,1.0,1.0,05,2017,218
271,Alphington,4,h,2345000.0,2.0,2.0,07,2017,218
272,Alphington,4,h,2220000.0,2.0,3.0,06,2017,218
273,Alphington,3,h,1650000.0,1.0,2.0,06,2017,218
274,Alphington,4,h,2750000.0,3.0,4.0,06,2017,218
275,Alphington,4,h,1800000.0,1.0,2.0,06,2017,218
276,Alphington,1,h,330000.0,1.0,1.0,06,2017,218
277,Alphington,3,h,1625000.0,2.0,1.0,08,2017,218
278,Alphington,4,h,1680000.0,3.0,2.0,09,2017,218
279,Alphington,3,h,1170000.0,1.0,1.0,09,2017,218
280,Alphington,1,h,341000.0,1.0,1.0,08,2017,218
281,Alphington,3,h,1620000.0,1.0,1.0,09,2017,218
282,Alphington,3,h,1550000.0,1.0,2.0,10,2017,218
283,Alphington,4,h,1757000.0,1.0,2.0,10,2017,218
284,Alphington,4,h,1480000.0,1.0,2.0,03,2018,218
285,Alphington,4,h,2420000.0,2.0,3.0,03,2018,218
286,Alphington,4,h,1575000.0,2.0,1.0,03,2018,218
287,Alphington,3,h,1720000.0,1.0,2.0,03,2018,218
288,Alphington,3,h,1100000.0,2.0,1.0,03,2018,218
289,Alphington,4,h,2300000.0,2.0,2.0,02,2018,218
290,Altona,3,h,520000.0,2.0,1.0,09,2016,518
291,Altona,5,h,1525000.0,3.0,3.0,12,2016,518
292,Altona,2,t,720000.0,1.0,2.0,02,2016,518
293,Altona,3,h,1120000.0,1.0,2.0,03,2017,518
294,Altona,4,h,780000.0,1.0,4.0,06,2016,518
295,Altona,4,h,1780000.0,3.0,6.0,06,2016,518
296,Altona,3,u,630000.0,1.0,2.0,08,2016,518
297,Altona,2,u,406000.0,1.0,1.0,08,2016,518
298,Altona,3,h,660000.0,1.0,1.0,05,2016,518
299,Altona,3,h,683500.0,1.0,1.0,11,2016,518
300,Altona,2,u,580000.0,1.0,1.0,10,2016,518
301,Altona,3,h,1335000.0,1.0,4.0,10,2016,518
302,Altona,3,t,800000.0,2.0,2.0,10,2016,518
303,Altona,2,u,510000.0,1.0,1.0,09,2016,518
304,Altona,4,h,1070000.0,2.0,2.0,09,2016,518
305,Altona,2,u,425000.0,1.0,2.0,09,2016,518
306,Altona,3,u,605000.0,2.0,2.0,12,2016,518
307,Altona,3,t,705000.0,2.0,2.0,02,2017,518
308,Altona,2,u,391000.0,1.0,1.0,02,2017,518
309,Altona,2,u,440000.0,1.0,1.0,02,2017,518
310,Altona,4,h,845000.0,1.0,2.0,02,2017,518
311,Altona,3,t,743000.0,2.0,2.0,11,2016,518
312,Altona,3,u,730000.0,2.0,1.0,08,2016,518
313,Altona,3,h,635000.0,1.0,4.0,05,2016,518
314,Altona,2,u,620000.0,1.0,1.0,05,2016,518
315,Altona,2,u,447000.0,1.0,1.0,10,2016,518
316,Altona,3,u,730000.0,2.0,1.0,04,2016,518
317,Altona,3,h,678000.0,1.0,2.0,04,2016,518
318,Altona,2,u,580000.0,2.0,1.0,07,2016,518
319,Altona,3,h,712000.0,1.0,2.0,09,2016,518
320,Altona,3,h,840000.0,2.0,2.0,03,2017,518
321,Altona,3,h,980000.0,1.0,2.0,11,2016,518
322,Altona,3,t,605100.0,2.0,0.0,05,2016,518
323,Altona,3,h,880000.0,3.0,1.0,08,2016,518
324,Altona,3,u,577000.0,2.0,1.0,04,2016,518
325,Altona,4,h,1030000.0,1.0,0.0,02,2017,518
326,Altona,3,u,605000.0,1.0,2.0,02,2017,518
327,Altona,3,h,753000.0,2.0,2.0,06,2016,518
328,Altona,2,h,857000.0,2.0,1.0,11,2016,518
329,Altona,3,h,1500000.0,1.0,1.0,05,2016,518
330,Altona,3,u,730000.0,2.0,1.0,05,2016,518
331,Altona,3,h,900000.0,1.0,4.0,05,2016,518
332,Altona,3,h,740000.0,1.0,2.0,08,2016,518
333,Altona,4,h,931000.0,2.0,3.0,08,2016,518
334,Altona,2,h,535600.0,1.0,1.0,07,2016,518
335,Altona,3,h,840000.0,1.0,2.0,04,2017,518
336,Altona,5,h,1480000.0,3.0,4.0,05,2017,518
337,Altona,2,t,600000.0,1.0,2.0,05,2017,518
338,Altona,2,t,597500.0,1.0,2.0,04,2017,518
339,Altona,3,h,1165000.0,1.0,2.0,04,2017,518
340,Altona,4,h,1295000.0,1.0,2.0,04,2017,518
341,Altona,2,u,540000.0,1.0,1.0,06,2017,518
342,Altona,3,h,853000.0,1.0,1.0,06,2017,518
343,Altona,3,u,670000.0,2.0,1.0,06,2017,518
344,Altona,3,t,765000.0,2.0,2.0,06,2017,518
345,Altona,3,h,1020000.0,1.0,2.0,06,2017,518
346,Altona,3,h,1280000.0,1.0,1.0,06,2017,518
347,Altona,2,h,1030000.0,1.0,1.0,05,2017,518
348,Altona,3,h,1005000.0,1.0,4.0,05,2017,518
349,Altona,3,h,1225000.0,1.0,1.0,08,2017,518
350,Altona,3,u,660000.0,1.0,2.0,08,2017,518
351,Altona,3,u,767000.0,2.0,1.0,08,2017,518
352,Altona,4,h,890000.0,1.0,1.0,07,2017,518
353,Altona,4,h,935000.0,2.0,2.0,07,2017,518
354,Altona,3,t,815000.0,2.0,2.0,07,2017,518
355,Altona,3,h,1005000.0,1.0,2.0,07,2017,518
356,Altona,4,t,820000.0,2.0,2.0,07,2017,518
357,Altona,4,h,1360000.0,2.0,4.0,07,2017,518
358,Altona,3,h,950000.0,1.0,1.0,07,2017,518
359,Altona,3,h,913000.0,2.0,3.0,09,2017,518
360,Altona,3,h,870000.0,1.0,2.0,09,2017,518
361,Altona,2,u,458000.0,1.0,1.0,09,2017,518
362,Altona,3,h,1248500.0,1.0,3.0,09,2017,518
363,Altona,3,h,901000.0,2.0,1.0,08,2017,518
364,Altona,2,u,585000.0,2.0,1.0,09,2017,518
365,Altona,3,h,920000.0,2.0,2.0,08,2017,518
366,Altona,2,u,672000.0,1.0,1.0,08,2017,518
367,Altona,2,u,801250.0,1.0,1.0,08,2017,518
368,Altona,3,h,940000.0,1.0,2.0,10,2017,518
369,Altona,4,h,1565000.0,2.0,2.0,10,2017,518
370,Altona,4,h,1165000.0,1.0,3.0,10,2017,518
371,Altona,3,h,1050000.0,1.0,2.0,11,2017,518
372,Altona,3,h,1010000.0,1.0,5.0,11,2017,518
373,Altona,3,h,1060000.0,1.0,3.0,11,2017,518
374,Altona,4,u,1160000.0,3.0,3.0,01,2018,518
375,Altona,3,h,925000.0,1.0,4.0,01,2018,518
376,Altona,3,h,850000.0,1.0,4.0,01,2018,518
377,Altona,3,h,970000.0,2.0,2.0,02,2018,518
378,Altona,3,h,1815000.0,2.0,2.0,03,2018,518
379,Altona,3,h,740000.0,2.0,2.0,03,2018,518
380,Altona,4,h,1040000.0,2.0,2.0,03,2018,518
381,Altona,5,h,1213000.0,2.0,6.0,03,2018,518
382,Altona North,5,h,1085000.0,3.0,6.0,09,2016,904
383,Altona North,3,h,781000.0,1.0,2.0,09,2016,904
384,Altona North,3,h,750000.0,1.0,3.0,03,2017,904
385,Altona North,2,t,421000.0,1.0,1.0,03,2017,904
386,Altona North,3,h,1405000.0,1.0,3.0,03,2017,904
387,Altona North,3,h,683000.0,1.0,2.0,06,2016,904
388,Altona North,3,h,623000.0,1.0,3.0,06,2016,904
389,Altona North,3,h,720000.0,2.0,1.0,08,2016,904
390,Altona North,3,h,588000.0,1.0,1.0,05,2016,904
391,Altona North,3,h,710000.0,1.0,3.0,11,2016,904
392,Altona North,4,h,875000.0,1.0,4.0,10,2016,904
393,Altona North,3,h,700000.0,1.0,3.0,12,2016,904
394,Altona North,2,t,640000.0,1.0,1.0,03,2017,904
395,Altona North,4,h,650000.0,1.0,4.0,06,2016,904
396,Altona North,3,h,675000.0,2.0,2.0,05,2016,904
397,Altona North,3,h,708000.0,1.0,2.0,10,2016,904
398,Altona North,4,h,965000.0,1.0,4.0,10,2016,904
399,Altona North,3,h,680000.0,1.0,3.0,11,2016,904
400,Altona North,3,h,770000.0,1.0,3.0,11,2016,904
401,Altona North,3,h,923000.0,1.0,2.0,05,2016,904
402,Altona North,4,h,693000.0,2.0,4.0,05,2016,904
403,Altona North,3,h,620000.0,2.0,2.0,08,2016,904
404,Altona North,3,h,728500.0,1.0,1.0,08,2016,904
405,Altona North,3,h,931000.0,2.0,1.0,08,2016,904
406,Altona North,3,h,988000.0,1.0,4.0,08,2016,904
407,Altona North,3,h,590000.0,1.0,2.0,04,2016,904
408,Altona North,2,h,610000.0,1.0,2.0,09,2016,904
409,Altona North,3,h,815000.0,2.0,3.0,02,2017,904
410,Altona North,4,h,970000.0,1.0,2.0,02,2017,904
411,Altona North,4,h,760000.0,1.0,3.0,06,2016,904
412,Altona North,4,t,847500.0,3.0,1.0,06,2016,904
413,Altona North,4,h,1200000.0,1.0,4.0,11,2016,904
414,Altona North,3,h,700000.0,1.0,1.0,11,2016,904
415,Altona North,3,h,625000.0,1.0,1.0,05,2016,904
416,Altona North,2,u,292000.0,1.0,1.0,08,2016,904
417,Altona North,3,h,916000.0,1.0,2.0,05,2017,904
418,Altona North,3,h,750000.0,1.0,2.0,05,2017,904
419,Altona North,3,h,910000.0,1.0,3.0,04,2017,904
420,Altona North,3,h,900000.0,1.0,2.0,07,2017,904
421,Altona North,3,h,585000.0,1.0,1.0,06,2017,904
422,Altona North,3,h,870000.0,1.0,4.0,06,2017,904
423,Altona North,3,h,875000.0,1.0,4.0,06,2017,904
424,Altona North,5,h,1500000.0,3.0,2.0,07,2017,904
425,Altona North,4,h,1030000.0,3.0,2.0,07,2017,904
426,Altona North,3,u,451500.0,1.0,1.0,07,2017,904
427,Altona North,3,h,830000.0,2.0,2.0,07,2017,904
428,Altona North,3,h,730000.0,1.0,1.0,07,2017,904
429,Altona North,4,h,805000.0,2.0,5.0,07,2017,904
430,Altona North,2,h,510000.0,1.0,1.0,07,2017,904
431,Altona North,3,h,1070000.0,1.0,3.0,09,2017,904
432,Altona North,3,h,1001000.0,1.0,2.0,09,2017,904
433,Altona North,3,h,745000.0,1.0,1.0,09,2017,904
434,Altona North,3,h,770000.0,1.0,2.0,09,2017,904
435,Altona North,5,h,1201000.0,3.0,4.0,08,2017,904
436,Altona North,3,h,720000.0,2.0,2.0,08,2017,904
