Suburb,Rooms,Type,Price,Postcode,Bathroom,Car,Landsize,Year,Month,Day,Crime Average
albert park,3,0,1800000.0,3206.0,2.0,1.0,90.0,2016,9,9,546.0
albert park,2,0,1810000.0,3206.0,1.0,0.0,240.0,2016,9,12,546.0
albert park,3,0,2615000.0,3206.0,2.0,1.0,177.0,2016,9,12,546.0
albert park,5,0,2100000.0,3206.0,2.0,1.0,237.0,2016,9,12,546.0
albert park,3,0,1300000.0,3206.0,1.0,0.0,129.0,2016,9,12,546.0
albert park,3,0,1370000.0,3206.0,2.0,2.0,0.0,2016,11,6,546.0
albert park,2,0,1000000.0,3206.0,1.0,0.0,288.0,2016,11,11,546.0
albert park,3,0,2575000.0,3206.0,2.0,1.0,228.0,2016,9,15,546.0
albert park,2,0,1322500.0,3206.0,1.0,0.0,149.0,2016,9,15,546.0
albert park,2,0,1562500.0,3206.0,1.0,0.0,141.0,2016,9,15,546.0
albert park,3,0,2000000.0,3206.0,2.0,1.0,211.0,2016,3,16,546.0
albert park,3,0,1900000.0,3206.0,1.0,0.0,209.0,2017,2,18,546.0
albert park,3,0,3010000.0,3206.0,2.0,0.0,147.0,2017,2,18,546.0
albert park,4,0,2800000.0,3206.0,3.0,1.0,327.0,2016,5,18,546.0
albert park,2,1,647000.0,3206.0,1.0,1.0,0.0,2016,4,22,546.0
albert park,3,0,2100000.0,3206.0,1.0,1.0,120.0,2016,3,23,546.0
albert park,3,0,2000000.0,3206.0,1.0,1.0,238.0,2016,8,24,546.0
albert park,1,1,442500.0,3206.0,1.0,0.0,0.0,2017,1,25,546.0
albert park,4,0,4735000.0,3206.0,2.0,1.0,330.0,2017,1,25,546.0
albert park,2,0,1340000.0,3206.0,1.0,0.0,136.0,2017,1,25,546.0
albert park,3,0,1801000.0,3206.0,1.0,1.0,202.0,2017,1,25,546.0
albert park,3,0,1532000.0,3206.0,3.0,1.0,0.0,2016,6,26,546.0
albert park,3,0,3755000.0,3206.0,2.0,2.0,325.0,2016,6,26,546.0
albert park,4,0,2140000.0,3206.0,2.0,1.0,183.0,2016,5,27,546.0
albert park,2,0,1750000.0,3206.0,1.0,1.0,162.0,2016,10,27,546.0
albert park,2,0,980000.0,3206.0,1.0,0.0,79.0,2016,4,28,546.0
albert park,3,0,2030000.0,3206.0,2.0,0.0,152.0,2016,7,28,546.0
albert park,3,0,1740000.0,3206.0,2.0,2.0,147.0,2016,7,28,546.0
albert park,3,0,2800000.0,3206.0,3.0,1.0,0.0,2016,6,30,546.0
albert park,1,0,985000.0,3206.0,1.0,0.0,81.0,2016,6,30,546.0
alphington,4,0,2000000.0,3078.0,2.0,4.0,853.0,2016,2,9,185.0
alphington,3,0,1110000.0,3078.0,2.0,2.0,208.0,2016,2,9,185.0
alphington,3,0,1492000.0,3078.0,2.0,2.0,411.0,2017,3,3,185.0
alphington,4,0,1717500.0,3078.0,2.0,1.0,599.0,2016,7,10,185.0
alphington,5,0,2840000.0,3078.0,4.0,4.0,809.0,2016,11,6,185.0
alphington,2,1,525500.0,3078.0,1.0,1.0,88.0,2016,11,11,185.0
alphington,2,2,805000.0,3078.0,2.0,3.0,155.0,2016,11,11,185.0
alphington,2,1,465000.0,3078.0,1.0,1.0,0.0,2016,11,11,185.0
alphington,3,0,2000000.0,3078.0,3.0,2.0,686.0,2016,9,15,185.0
alphington,3,0,1540000.0,3078.0,1.0,2.0,592.0,2016,3,16,185.0
alphington,2,1,820000.0,3078.0,1.0,1.0,183.0,2017,2,18,185.0
alphington,4,0,1830000.0,3078.0,2.0,2.0,606.0,2016,10,19,185.0
alphington,4,0,2100000.0,3078.0,2.0,2.0,575.0,2016,10,19,185.0
alphington,3,0,865000.0,3078.0,1.0,1.0,180.0,2016,4,22,185.0
alphington,2,1,390000.0,3078.0,1.0,1.0,0.0,2016,4,22,185.0
alphington,2,2,650000.0,3078.0,1.0,0.0,0.0,2016,8,24,185.0
alphington,2,1,512000.0,3078.0,1.0,1.0,0.0,2017,1,25,185.0
alphington,3,0,1165000.0,3078.0,1.0,2.0,979.0,2016,5,27,185.0
alphington,4,0,1900000.0,3078.0,2.0,2.0,556.0,2016,10,27,185.0
alphington,3,0,1485000.0,3078.0,0.0,0.0,597.0,2016,7,28,185.0
alphington,4,0,1950000.0,3078.0,2.0,3.0,589.0,2016,6,30,185.0
altona,3,0,520000.0,3018.0,2.0,1.0,352.0,2016,2,9,597.0
altona,5,0,1525000.0,3018.0,3.0,3.0,729.0,2016,2,12,597.0
altona,2,2,720000.0,3018.0,1.0,2.0,292.0,2016,3,2,597.0
altona,3,0,1120000.0,3018.0,1.0,2.0,506.0,2017,3,3,597.0
altona,4,0,780000.0,3018.0,1.0,4.0,655.0,2016,3,6,597.0
altona,4,0,1780000.0,3018.0,3.0,6.0,1057.0,2016,3,6,597.0
altona,3,1,630000.0,3018.0,1.0,2.0,311.0,2016,5,8,597.0
altona,2,1,406000.0,3018.0,1.0,1.0,65.0,2016,5,8,597.0
altona,3,0,660000.0,3018.0,1.0,1.0,602.0,2016,6,5,597.0
altona,3,0,683500.0,3018.0,1.0,1.0,530.0,2016,6,11,597.0
altona,2,1,580000.0,3018.0,1.0,1.0,225.0,2016,7,10,597.0
altona,3,0,1335000.0,3018.0,1.0,4.0,777.0,2016,7,10,597.0
altona,3,2,800000.0,3018.0,2.0,2.0,280.0,2016,7,10,597.0
altona,2,1,510000.0,3018.0,1.0,1.0,127.0,2016,9,9,597.0
altona,4,0,1070000.0,3018.0,2.0,2.0,695.0,2016,9,9,597.0
altona,2,1,425000.0,3018.0,1.0,2.0,115.0,2016,9,9,597.0
altona,3,1,605000.0,3018.0,2.0,2.0,230.0,2016,9,12,597.0
altona,3,2,705000.0,3018.0,2.0,2.0,197.0,2017,10,2,597.0
altona,2,1,391000.0,3018.0,1.0,1.0,0.0,2017,10,2,597.0
altona,2,1,440000.0,3018.0,1.0,1.0,0.0,2017,10,2,597.0
altona,4,0,845000.0,3018.0,1.0,2.0,745.0,2017,10,2,597.0
altona,3,2,743000.0,3018.0,2.0,2.0,211.0,2016,11,11,597.0
altona,3,1,730000.0,3018.0,2.0,1.0,69.0,2016,7,13,597.0
altona,3,0,635000.0,3018.0,1.0,4.0,625.0,2016,4,14,597.0
altona,2,1,620000.0,3018.0,1.0,1.0,168.0,2016,4,14,597.0
altona,2,1,447000.0,3018.0,1.0,1.0,137.0,2016,9,15,597.0
altona,3,1,730000.0,3018.0,2.0,1.0,70.0,2016,3,16,597.0
altona,3,0,678000.0,3018.0,1.0,2.0,606.0,2016,3,16,597.0
altona,2,1,580000.0,3018.0,2.0,1.0,175.0,2016,6,16,597.0
altona,3,0,712000.0,3018.0,1.0,2.0,363.0,2016,8,17,597.0
altona,3,0,840000.0,3018.0,2.0,2.0,534.0,2017,2,18,597.0
altona,3,0,980000.0,3018.0,1.0,2.0,724.0,2016,10,19,597.0
altona,3,2,605100.0,3018.0,2.0,0.0,265.0,2016,4,22,597.0
altona,3,0,880000.0,3018.0,3.0,1.0,577.0,2016,7,22,597.0
altona,3,1,577000.0,3018.0,2.0,1.0,205.0,2016,3,23,597.0
altona,4,0,1030000.0,3018.0,1.0,0.0,797.0,2017,1,25,597.0
altona,3,1,605000.0,3018.0,1.0,2.0,181.0,2017,1,25,597.0
altona,3,0,753000.0,3018.0,2.0,2.0,529.0,2016,5,27,597.0
altona,2,0,857000.0,3018.0,2.0,1.0,675.0,2016,10,27,597.0
altona,3,0,1500000.0,3018.0,1.0,1.0,929.0,2016,4,28,597.0
altona,3,1,730000.0,3018.0,2.0,1.0,70.0,2016,4,28,597.0
altona,3,0,900000.0,3018.0,1.0,4.0,697.0,2016,4,28,597.0
altona,3,0,740000.0,3018.0,1.0,2.0,604.0,2016,7,28,597.0
altona,4,0,931000.0,3018.0,2.0,3.0,532.0,2016,7,28,597.0
altona,2,0,535600.0,3018.0,1.0,1.0,154.0,2016,6,30,597.0
altona north,5,0,1085000.0,3025.0,3.0,6.0,592.0,2016,2,9,920.0
altona north,3,0,781000.0,3025.0,1.0,2.0,533.0,2016,2,9,920.0
altona north,3,0,750000.0,3025.0,1.0,3.0,554.0,2017,3,3,920.0
altona north,2,2,421000.0,3025.0,1.0,1.0,77.0,2017,3,3,920.0
altona north,3,0,1405000.0,3025.0,1.0,3.0,655.0,2017,3,3,920.0
altona north,3,0,683000.0,3025.0,1.0,2.0,534.0,2016,3,6,920.0
altona north,3,0,623000.0,3025.0,1.0,3.0,540.0,2016,3,6,920.0
altona north,3,0,720000.0,3025.0,2.0,1.0,0.0,2016,5,8,920.0
altona north,3,0,588000.0,3025.0,1.0,1.0,328.0,2016,6,5,920.0
altona north,3,0,710000.0,3025.0,1.0,3.0,540.0,2016,6,11,920.0
altona north,4,0,875000.0,3025.0,1.0,4.0,559.0,2016,7,10,920.0
altona north,3,0,700000.0,3025.0,1.0,3.0,554.0,2016,9,12,920.0
altona north,2,2,640000.0,3025.0,1.0,1.0,252.0,2017,10,3,920.0
altona north,4,0,650000.0,3025.0,1.0,4.0,558.0,2016,11,6,920.0
altona north,3,0,675000.0,3025.0,2.0,2.0,171.0,2016,4,14,920.0
altona north,3,0,708000.0,3025.0,1.0,2.0,585.0,2016,9,15,920.0
altona north,4,0,965000.0,3025.0,1.0,4.0,851.0,2016,9,15,920.0
altona north,3,0,680000.0,3025.0,1.0,3.0,551.0,2016,10,19,920.0
altona north,3,0,770000.0,3025.0,1.0,3.0,602.0,2016,10,19,920.0
altona north,3,0,923000.0,3025.0,1.0,2.0,740.0,2016,4,22,920.0
altona north,4,0,693000.0,3025.0,2.0,4.0,315.0,2016,4,22,920.0
altona north,3,0,620000.0,3025.0,2.0,2.0,276.0,2016,7,22,920.0
altona north,3,0,728500.0,3025.0,1.0,1.0,531.0,2016,7,22,920.0
altona north,3,0,931000.0,3025.0,2.0,1.0,590.0,2016,7,22,920.0
altona north,3,0,988000.0,3025.0,1.0,4.0,715.0,2016,7,22,920.0
altona north,3,0,590000.0,3025.0,1.0,2.0,561.0,2016,3,23,920.0
altona north,2,0,610000.0,3025.0,1.0,2.0,691.0,2016,8,24,920.0
altona north,3,0,815000.0,3025.0,2.0,3.0,555.0,2017,1,25,920.0
altona north,4,0,970000.0,3025.0,1.0,2.0,708.0,2017,1,25,920.0
altona north,4,0,760000.0,3025.0,1.0,3.0,668.0,2016,5,27,920.0
altona north,4,2,847500.0,3025.0,3.0,1.0,252.0,2016,5,27,920.0
altona north,4,0,1200000.0,3025.0,1.0,4.0,633.0,2016,10,27,920.0
altona north,3,0,700000.0,3025.0,1.0,1.0,557.0,2016,10,27,920.0
altona north,3,0,625000.0,3025.0,1.0,1.0,536.0,2016,4,28,920.0
altona north,2,1,292000.0,3025.0,1.0,1.0,153.0,2016,7,28,920.0
armadale,2,1,599000.0,3143.0,1.0,1.0,0.0,2016,2,9,507.0
armadale,2,1,550000.0,3143.0,1.0,0.0,861.0,2016,2,12,507.0
armadale,3,1,995000.0,3143.0,2.0,2.0,0.0,2016,2,12,507.0
armadale,3,2,1205000.0,3143.0,2.0,2.0,101.0,2016,2,12,507.0
armadale,3,0,1939000.0,3143.0,2.0,2.0,296.0,2016,2,12,507.0
armadale,1,1,421500.0,3143.0,1.0,0.0,0.0,2016,2,12,507.0
armadale,3,0,1870000.0,3143.0,1.0,1.0,217.0,2017,3,3,507.0
armadale,2,1,678000.0,3143.0,1.0,2.0,0.0,2017,3,3,507.0
armadale,3,2,1918000.0,3143.0,2.0,2.0,0.0,2017,3,3,507.0
armadale,2,1,660000.0,3143.0,1.0,1.0,0.0,2017,3,3,507.0
armadale,3,0,2050000.0,3143.0,2.0,1.0,205.0,2017,3,3,507.0
armadale,2,1,700000.0,3143.0,1.0,2.0,0.0,2016,3,6,507.0
armadale,2,1,3625000.0,3143.0,2.0,2.0,0.0,2016,3,6,507.0
armadale,4,0,3000000.0,3143.0,2.0,2.0,1581.0,2016,3,6,507.0
armadale,5,0,1525000.0,3143.0,2.0,2.0,693.0,2016,6,5,507.0
armadale,3,1,735000.0,3143.0,2.0,1.0,2113.0,2016,6,5,507.0
armadale,2,1,825000.0,3143.0,1.0,1.0,0.0,2016,6,5,507.0
armadale,3,2,1586000.0,3143.0,2.0,2.0,246.0,2016,6,5,507.0
armadale,2,1,645000.0,3143.0,1.0,1.0,0.0,2016,7,10,507.0
armadale,1,0,1435000.0,3143.0,2.0,1.0,144.0,2016,7,10,507.0
armadale,1,1,280000.0,3143.0,1.0,1.0,0.0,2016,9,9,507.0
armadale,1,1,400000.0,3143.0,1.0,1.0,0.0,2016,9,12,507.0
armadale,2,0,1780000.0,3143.0,2.0,2.0,0.0,2016,9,12,507.0
armadale,2,1,592500.0,3143.0,1.0,1.0,0.0,2016,9,12,507.0
armadale,2,0,1210000.0,3143.0,1.0,0.0,249.0,2016,11,11,507.0
armadale,4,0,2801000.0,3143.0,2.0,2.0,624.0,2016,11,11,507.0
armadale,1,1,390000.0,3143.0,1.0,0.0,881.0,2016,4,14,507.0
armadale,3,0,1800000.0,3143.0,2.0,2.0,405.0,2016,9,15,507.0
armadale,4,0,2200000.0,3143.0,1.0,2.0,495.0,2016,9,15,507.0
armadale,1,1,324000.0,3143.0,1.0,1.0,0.0,2016,3,16,507.0
armadale,6,0,5525000.0,3143.0,3.0,4.0,1491.0,2016,8,17,507.0
armadale,2,0,1125000.0,3143.0,1.0,2.0,169.0,2016,8,17,507.0
armadale,3,0,2250000.0,3143.0,3.0,1.0,301.0,2016,8,17,507.0
armadale,3,0,2360000.0,3143.0,2.0,0.0,336.0,2017,2,18,507.0
armadale,2,0,1900000.0,3143.0,2.0,0.0,207.0,2017,2,18,507.0
armadale,1,1,440000.0,3143.0,1.0,1.0,0.0,2017,2,18,507.0
armadale,2,1,490000.0,3143.0,1.0,1.0,0.0,2016,5,18,507.0
armadale,3,0,2365000.0,3143.0,2.0,1.0,316.0,2016,5,18,507.0
armadale,3,0,1300000.0,3143.0,1.0,2.0,212.0,2016,5,18,507.0
armadale,3,1,732000.0,3143.0,2.0,2.0,0.0,2016,5,18,507.0
armadale,2,1,704000.0,3143.0,1.0,1.0,0.0,2016,10,19,507.0
armadale,2,1,620000.0,3143.0,1.0,1.0,0.0,2016,10,19,507.0
armadale,3,0,1900000.0,3143.0,1.0,2.0,328.0,2016,4,22,507.0
armadale,1,1,315000.0,3143.0,1.0,1.0,0.0,2016,7,22,507.0
armadale,1,1,450000.0,3143.0,1.0,1.0,0.0,2016,8,24,507.0
armadale,2,1,710000.0,3143.0,1.0,1.0,2471.0,2017,1,25,507.0
armadale,2,1,872000.0,3143.0,1.0,1.0,1194.0,2017,1,25,507.0
armadale,2,1,598000.0,3143.0,1.0,1.0,0.0,2017,1,25,507.0
armadale,3,0,1285000.0,3143.0,1.0,2.0,186.0,2017,1,25,507.0
armadale,4,0,3660000.0,3143.0,3.0,2.0,421.0,2017,1,25,507.0
armadale,2,1,520000.0,3143.0,1.0,1.0,0.0,2016,5,27,507.0
armadale,4,0,3625000.0,3143.0,1.0,2.0,709.0,2016,10,27,507.0
armadale,4,0,4200000.0,3143.0,3.0,3.0,563.0,2016,10,27,507.0
armadale,3,2,1101000.0,3143.0,1.0,2.0,103.0,2016,10,27,507.0
armadale,3,0,3512500.0,3143.0,2.0,2.0,617.0,2016,10,27,507.0
armadale,4,0,2000000.0,3143.0,3.0,4.0,544.0,2016,4,28,507.0
armadale,3,1,869000.0,3143.0,1.0,1.0,0.0,2016,4,28,507.0
armadale,5,0,2810000.0,3143.0,2.0,2.0,617.0,2016,7,28,507.0
armadale,2,1,565000.0,3143.0,1.0,1.0,0.0,2016,7,28,507.0
armadale,1,1,567000.0,3143.0,1.0,1.0,0.0,2016,7,28,507.0
armadale,2,1,546000.0,3143.0,0.0,0.0,0.0,2016,6,30,507.0
armadale,2,1,471500.0,3143.0,1.0,1.0,0.0,2016,6,30,507.0
ascot vale,2,1,455000.0,3032.0,1.0,2.0,0.0,2016,2,9,1111.0
ascot vale,3,0,940000.0,3032.0,1.0,2.0,298.0,2016,2,12,1111.0
ascot vale,2,1,467000.0,3032.0,1.0,1.0,0.0,2016,2,12,1111.0
ascot vale,3,0,1380000.0,3032.0,2.0,2.0,277.0,2017,3,3,1111.0
ascot vale,2,1,490000.0,3032.0,1.0,1.0,423.0,2017,3,3,1111.0
ascot vale,4,0,1850000.0,3032.0,3.0,1.0,478.0,2017,3,3,1111.0
ascot vale,3,0,1284000.0,3032.0,1.0,2.0,623.0,2017,3,3,1111.0
ascot vale,3,0,971000.0,3032.0,2.0,2.0,285.0,2016,3,6,1111.0
ascot vale,2,0,710000.0,3032.0,1.0,1.0,214.0,2016,3,6,1111.0
ascot vale,6,0,2425000.0,3032.0,3.0,2.0,1014.0,2016,3,6,1111.0
ascot vale,2,0,750000.0,3032.0,1.0,1.0,226.0,2016,3,6,1111.0
ascot vale,2,0,1053000.0,3032.0,1.0,1.0,269.0,2016,5,8,1111.0
ascot vale,3,0,1377000.0,3032.0,1.0,1.0,417.0,2016,5,8,1111.0
ascot vale,3,0,970000.0,3032.0,1.0,2.0,350.0,2016,6,5,1111.0
ascot vale,2,0,940000.0,3032.0,1.0,1.0,330.0,2016,6,5,1111.0
ascot vale,2,0,751000.0,3032.0,1.0,1.0,118.0,2016,6,5,1111.0
ascot vale,2,0,950000.0,3032.0,1.0,1.0,173.0,2016,6,5,1111.0
ascot vale,2,1,685000.0,3032.0,1.0,2.0,228.0,2016,6,11,1111.0
ascot vale,3,0,1230000.0,3032.0,1.0,2.0,594.0,2016,7,10,1111.0
ascot vale,2,0,636500.0,3032.0,1.0,1.0,0.0,2016,7,10,1111.0
ascot vale,3,0,910000.0,3032.0,1.0,0.0,317.0,2016,7,10,1111.0
ascot vale,2,0,770000.0,3032.0,1.0,1.0,226.0,2016,9,9,1111.0
ascot vale,3,0,960000.0,3032.0,2.0,2.0,229.0,2016,9,12,1111.0
ascot vale,4,0,890000.0,3032.0,1.0,1.0,300.0,2016,9,12,1111.0
ascot vale,2,0,965000.0,3032.0,1.0,1.0,170.0,2016,9,12,1111.0
ascot vale,3,0,1440000.0,3032.0,1.0,1.0,487.0,2017,10,2,1111.0
ascot vale,2,0,955000.0,3032.0,1.0,0.0,255.0,2017,10,3,1111.0
ascot vale,2,1,450000.0,3032.0,1.0,1.0,0.0,2016,11,11,1111.0
ascot vale,3,0,801000.0,3032.0,1.0,2.0,431.0,2016,11,11,1111.0
ascot vale,3,0,1000000.0,3032.0,2.0,2.0,440.0,2016,11,11,1111.0
ascot vale,3,0,1435000.0,3032.0,2.0,2.0,532.0,2016,11,11,1111.0
ascot vale,1,1,390000.0,3032.0,1.0,1.0,0.0,2016,11,11,1111.0
ascot vale,3,0,1425000.0,3032.0,2.0,2.0,495.0,2016,7,13,1111.0
ascot vale,4,0,1340000.0,3032.0,2.0,2.0,683.0,2016,4,14,1111.0
ascot vale,3,0,955000.0,3032.0,1.0,1.0,263.0,2016,4,14,1111.0
ascot vale,4,0,1100000.0,3032.0,2.0,5.0,559.0,2016,9,15,1111.0
ascot vale,3,0,1255000.0,3032.0,2.0,2.0,308.0,2016,9,15,1111.0
ascot vale,2,1,432000.0,3032.0,1.0,1.0,0.0,2016,9,15,1111.0
ascot vale,4,0,1640000.0,3032.0,3.0,2.0,562.0,2016,3,16,1111.0
ascot vale,6,0,1430000.0,3032.0,2.0,1.0,461.0,2016,3,16,1111.0
ascot vale,2,1,610000.0,3032.0,1.0,1.0,301.0,2016,3,16,1111.0
ascot vale,3,0,940000.0,3032.0,3.0,1.0,491.0,2016,3,16,1111.0
ascot vale,3,0,890000.0,3032.0,1.0,1.0,242.0,2016,6,16,1111.0
ascot vale,3,0,1180000.0,3032.0,2.0,2.0,617.0,2016,8,17,1111.0
ascot vale,4,0,1480000.0,3032.0,2.0,2.0,597.0,2016,8,17,1111.0
ascot vale,2,0,1150000.0,3032.0,1.0,1.0,387.0,2017,2,18,1111.0
ascot vale,3,0,1350000.0,3032.0,1.0,3.0,575.0,2017,2,18,1111.0
