suburb,postcode,state
derrimut,3030,VIC
diamond creek,3089,VIC
dingley village,3172,VIC
docklands,3008,VIC
doncaster,3108,VIC
doncaster east,3109,VIC
donvale,3111,VIC
doveton,3177,VIC
eaglemont,3084,VIC
east melbourne,3002,VIC
edithvale,3196,VIC
elsternwick,3185,VIC
eltham,3095,VIC
eltham north,3095,VIC
elwood,3184,VIC
emerald,3782,VIC
endeavour hills,3802,VIC
epping,3076,VIC
essendon,3040,VIC
essendon north,3041,VIC
essendon west,3040,VIC
eumemmerring,3177,VIC
fairfield,3078,VIC
fawkner,3060,VIC
ferntree gully,3156,VIC
ferny creek,3786,VIC
fitzroy,3065,VIC
fitzroy north,3068,VIC
flemington,3031,VIC
footscray,3011,VIC
forest hill,3131,VIC
frankston,3199,VIC
frankston north,3200,VIC
frankston south,3199,VIC
gardenvale,3185,VIC
gladstone park,3043,VIC
glen huntly,3163,VIC
glen iris,3146,VIC
glen waverley,3150,VIC
glenroy,3046,VIC
gowanbrae,3043,VIC
greensborough,3088,VIC
hadfield,3046,VIC
hallam,3803,VIC
hampton east,3188,VIC
hampton park,3976,VIC
hawthorn,3122,VIC
hawthorn east,3123,VIC
heatherton,3202,VIC
heathmont,3135,VIC
heidelberg,3084,VIC
heidelberg heights,3081,VIC
heidelberg west,3081,VIC
highett,3190,VIC
hillside,3037,VIC
hillside,3875,VIC
hoppers crossing,3029,VIC
hughesdale,3166,VIC
huntingdale,3166,VIC
hurstbridge,3099,VIC
ivanhoe,3079,VIC
ivanhoe east,3079,VIC
jacana,3047,VIC
junction village,3977,VIC
kallista,3791,VIC
kalorama,3766,VIC
kealba,3021,VIC
keilor,3036,VIC
keilor downs,3038,VIC
keilor east,3033,VIC
keilor lodge,3038,VIC
keilor park,3042,VIC
kensington,3031,VIC
kew,3101,VIC
kew east,3102,VIC
keysborough,3173,VIC
kilsyth,3137,VIC
kilsyth south,3137,VIC
kingsbury,3083,VIC
kings park,3021,VIC
kingsville,3012,VIC
kooyong,3144,VIC
knoxfield,3180,VIC
lalor,3075,VIC
langwarrin,3910,VIC
langwarrin south,3911,VIC
laverton,3028,VIC
lilydale,3140,VIC
lower plenty,3093,VIC
lynbrook,3975,VIC
lyndhurst,3975,VIC
lysterfield south,3156,VIC
macleod,3085,VIC
maidstone,3012,VIC
malvern,3144,VIC
malvern east,3145,VIC
maribyrnong,3032,VIC
mckinnon,3204,VIC
meadow heights,3048,VIC
melbourne,3000,VIC
melbourne,3004,VIC
mentone,3194,VIC
middle park,3206,VIC
mill park,3082,VIC
mitcham,3132,VIC
mont albert,3127,VIC
mont albert north,3129,VIC
montmorency,3094,VIC
montrose,3765,VIC
moonee ponds,3039,VIC
moorabbin,3189,VIC
mooroolbark,3138,VIC
mordialloc,3195,VIC
mount dandenong,3767,VIC
mount evelyn,3796,VIC
mount waverley,3149,VIC
mulgrave,3170,VIC
murrumbeena,3163,VIC
narre warren,3805,VIC
narre warren north,3804,VIC
narre warren south,3805,VIC
newport,3015,VIC
niddrie,3042,VIC
noble park,3174,VIC
noble park north,3174,VIC
north melbourne,3051,VIC
north warrandyte,3113,VIC
northcote,3070,VIC
notting hill,3168,VIC
nunawading,3131,VIC
oak park,3046,VIC
oakleigh,3166,VIC
oakleigh east,3166,VIC
oakleigh south,3167,VIC
ormond,3204,VIC
park orchards,3114,VIC
parkdale,3195,VIC
parkville,3052,VIC
pascoe vale,3044,VIC
pascoe vale south,3044,VIC
patterson lakes,3197,VIC
point cook,3030,VIC
port melbourne,3207,VIC
prahran,3181,VIC
preston,3072,VIC
princes hill,3054,VIC
research,3095,VIC
reservoir,3073,VIC
richmond,3121,VIC
ringwood,3134,VIC
ringwood north,3134,VIC
ripponlea,3185,VIC
rosanna,3084,VIC
rowville,3178,VIC
roxburgh park,3064,VIC
sandhurst,3977,VIC
sandringham,3191,VIC
sassafras,3787,VIC
scoresby,3179,VIC
seabrook,3028,VIC
seaford,3198,VIC
seaholme,3018,VIC
seddon,3011,VIC
selby,3159,VIC
sherbrooke,3789,VIC
skye,3977,VIC
south kingsville,3015,VIC
south melbourne,3205,VIC
south morang,3752,VIC
south yarra,3141,VIC
southbank,3006,VIC
spotswood,3015,VIC
springvale,3171,VIC
springvale south,3172,VIC
st albans,3021,VIC
st kilda,3182,VIC
st kilda east,3183,VIC
st kilda west,3182,VIC
strathmore,3041,VIC
strathmore heights,3041,VIC
sunshine north,3020,VIC
surrey hills,3127,VIC
sydenham,3037,VIC
taylors hill,3037,VIC
taylors lakes,3038,VIC
tecoma,3160,VIC
templestowe,3106,VIC
templestowe lower,3107,VIC
the basin,3154,VIC
the patch,3792,VIC
thomastown,3074,VIC
thornbury,3071,VIC
toorak,3142,VIC
travancore,3032,VIC
tullamarine,3043,VIC
upper ferntree gully,3156,VIC
upwey,3158,VIC
vermont,3133,VIC
vermont south,3133,VIC
viewbank,3084,VIC
wandin north,3139,VIC
wantirna,3152,VIC
wantirna south,3152,VIC
warrandyte,3113,VIC
warranwood,3134,VIC
waterways,3195,VIC
watsonia,3087,VIC
watsonia north,3087,VIC
werribee,3030,VIC
west footscray,3012,VIC
west melbourne,3003,VIC
westmeadows,3049,VIC
wheelers hill,3150,VIC
williamstown,3016,VIC
williamstown north,3016,VIC
windsor,3181,VIC
yallambie,3085,VIC
yarraville,3013,VIC
